학과이름|과목이름|ABEEK 영역|과목 영역|설계학점
소프트웨어학과|문제해결을 위한 글쓰기와 발표|전문교양|필수|0
소프트웨어학과|문제해결을 위한 글쓰기와 발표|전문교양|필수|0
소프트웨어학과|문제해결을 위한 글쓰기와 발표|전문교양|필수|0
소프트웨어학과|문제해결을 위한 글쓰기와 발표|전문교양|필수|0
소프트웨어학과|미적분학1|BSM|필수|0
소프트웨어학과|C프로그래밍 및 실습|전공|필수|0
소프트웨어학과|확률및통계|전공|선택|0
소프트웨어학과|대학영어|전문교양|필수|0
소프트웨어학과|서양철학: 쟁점과 토론|전문교양|필수|0
소프트웨어학과|공업수학1|BSM|필수|0
소프트웨어학과|고급C프로그래밍및실습|전공|필수|0
소프트웨어학과|선형대수|BSM|선택|0
소프트웨어학과|자료구조 및 실습|전공|필수|0
소프트웨어학과|문제해결 및 실습: C++|전공|필수|0
소프트웨어학과|일반물리 및 시뮬레이션|BSM|필수|0
소프트웨어학과|멀티미디어프로그래밍|전공|선택|0
소프트웨어학과|웹프로그래밍|전공|선택|0
소프트웨어학과|윈도우즈프로그래밍|전공|선택|0
소프트웨어학과|통계학개론|BSM|필수|0
소프트웨어학과|SW설계기초(산학프로젝트입문)|설계|필수|3
소프트웨어학과|컴퓨터 구조|전공|필수|0
소프트웨어학과|알고리즘 및 실습|전공|필수|1
소프트웨어학과|문제해결 및 실습: JAVA|전공|선택|1
소프트웨어학과|창의SW융합노마드|전공|선택|0
소프트웨어학과|이산수학 및 프로그래밍|BSM|필수|0
소프트웨어학과|K-MOOC: 멀티미디어|전공|선택|0
소프트웨어학과|데이터베이스|전공|필수|1
소프트웨어학과|데이터베이스|전공|필수|1
소프트웨어학과|데이터베이스|전공|필수|1
소프트웨어학과|데이터베이스|전공|필수|1
소프트웨어학과|오픈소스SW개론|전공|필수|1
소프트웨어학과|운영체제|전공|필수|1
소프트웨어학과|수치해석|전공|선택|0
소프트웨어학과|게임프로그래밍|전공|선택|1
소프트웨어학과|소프트웨어교육1|전공|선택|0
소프트웨어학과|오픈소스SW공학|전공|선택|1
소프트웨어학과|컴퓨터네트워크|전공|선택|0
소프트웨어학과|컴퓨터그래픽스|전공|선택|1
소프트웨어학과|음성오디오처리|전공|선택|0
소프트웨어학과|소프트웨어공학|전공|선택|0
소프트웨어학과|데이터베이스프로그래밍|전공|선택|0
소프트웨어학과|데이터공학|전공|선택|0
소프트웨어학과|앱프로그래밍|전공|선택|0
소프트웨어학과|소프트웨어교육 2|전공|선택|0
소프트웨어학과|Capstone디자인(산학협력프로젝트)|전공|필수|6
소프트웨어학과|졸업연구 및 진로1|전공|선택|0
소프트웨어학과|연구실인턴쉽1|전공|선택|0
소프트웨어학과|가상현실|전공|선택|1
소프트웨어학과|컴퓨터애니메이션|전공|선택|1
소프트웨어학과|기계학습|전공|선택|0
소프트웨어학과|패턴인식|전공|선택|0
소프트웨어학과|영상처리|전공|선택|0
소프트웨어학과|소프트웨어특강1|전공|선택|0
소프트웨어학과|고급데이터베이스|전공|선택|0
소프트웨어학과|졸업연구 및 진로2|전공|선택|0
소프트웨어학과|Capstone디자인(산학협력프로젝트)|전공|필수|6
소프트웨어학과|연구실인턴쉽2|전공|선택|0
소프트웨어학과|HCI개론|전공|선택|1
소프트웨어학과|지능형시스템|전공|선택|1
소프트웨어학과|컴퓨터비전시스템|전공|선택|0
소프트웨어학과|인공지능|전공|선택|0
소프트웨어학과|증강현실|전공|선택|0
소프트웨어학과|음성인식|전공|선택|0
소프트웨어학과|소프트웨어특강2|전공|선택|0
소프트웨어학과|특허와 창업|전공|선택|0
