학과이름|과목이름|ABEEK 영역|과목 영역|설계학점
소프트웨어학과|English Listening Practice 1|전문교양|필수|0
소프트웨어학과|English Reading Practice 1|전문교양|필수|0
소프트웨어학과|고급프로그래밍입문-P|전문교양|필수|0
소프트웨어학과|대학생활과진로설계|전문교양|필수|0
소프트웨어학과|대학생활과진로탐색|전문교양|필수|0
소프트웨어학과|대학영어|전문교양|필수|0
소프트웨어학과|문제해결을위한글쓰기와발표|전문교양|필수|0
소프트웨어학과|서양철학:쟁점과토론|전문교양|필수|0
소프트웨어학과|세계사:인간과문명|전문교양|필수|0
소프트웨어학과|세종사회봉사1|전문교양|필수|0
소프트웨어학과|Technical Writing기초|전문교양|선택|0
소프트웨어학과|신입생세미나|전문교양|선택|0
소프트웨어학과|공업수학1|BSM|필수|0
소프트웨어학과|기초미적분학|BSM|필수|0
소프트웨어학과|미적분학1|BSM|필수|0
소프트웨어학과|선형대수및프로그래밍|BSM|필수|0
소프트웨어학과|이산수학및프로그래밍|BSM|필수|0
소프트웨어학과|일반물리및시뮬레이션|BSM|필수|0
소프트웨어학과|통계학개론|BSM|필수|0
소프트웨어학과|선형대수|BSM|선택|0
소프트웨어학과|Capstone디자인(산학협력프로젝트)|전공|필수|6
소프트웨어학과|C프로그래밍및실습|전공|필수|0
소프트웨어학과|객체지향프로그래밍:C++|전공|필수|0
소프트웨어학과|고급C프로그래밍및실습|전공|필수|0
소프트웨어학과|데이터베이스|전공|필수|1
소프트웨어학과|문제해결및실습: C++|전공|필수|0
소프트웨어학과|알고리즘및실습|전공|필수|1
소프트웨어학과|오픈소스SW개론|전공|필수|1
소프트웨어학과|운영체제|전공|필수|1
소프트웨어학과|자료구조및실습|전공|필수|0
소프트웨어학과|컴퓨터구조|전공|필수|0
소프트웨어학과|HCI개론|전공|선택|1
소프트웨어학과|K-MOOC:멀티미디어|전공|선택|0
소프트웨어학과|가상현실|전공|선택|1
소프트웨어학과|게임프로그래밍|전공|선택|1
소프트웨어학과|고급실시간그래픽스|전공|선택|1
소프트웨어학과|기계학습|전공|선택|0
소프트웨어학과|데이터베이스프로그래밍|전공|선택|0
소프트웨어학과|데이터분석|전공|선택|0
소프트웨어학과|디지털사운드|전공|선택|0
소프트웨어학과|디지털이미지프로그래밍|전공|선택|0
소프트웨어학과|딥러닝개론|전공|선택|0
소프트웨어학과|멀티미디어|전공|선택|0
소프트웨어학과|멀티미디어프로그래밍|전공|선택|0
소프트웨어학과|모바일프로그래밍|전공|선택|0
소프트웨어학과|문제해결및실습:JAVA|전공|선택|1
소프트웨어학과|생성형AI|전공|선택|0
소프트웨어학과|소프트웨어공학|전공|선택|0
소프트웨어학과|소프트웨어교육1|전공|선택|0
소프트웨어학과|소프트웨어특강1|전공|선택|0
소프트웨어학과|소프트웨어특강2|전공|선택|0
소프트웨어학과|수치해석|전공|선택|0
소프트웨어학과|앱프로그래밍|전공|선택|0
소프트웨어학과|연구실인턴쉽1|전공|선택|0
소프트웨어학과|연구실인턴쉽2|전공|선택|0
소프트웨어학과|영상처리|전공|선택|0
소프트웨어학과|오픈소스SW공학|전공|선택|1
소프트웨어학과|웹프로그래밍|전공|선택|0
소프트웨어학과|음성오디오처리|전공|선택|0
소프트웨어학과|음성처리|전공|선택|0
소프트웨어학과|인공지능|전공|선택|1
소프트웨어학과|졸업연구및진로1|전공|선택|0
소프트웨어학과|졸업연구및진로2|전공|선택|0
소프트웨어학과|증강현실|전공|선택|0
소프트웨어학과|지능형시스템|전공|선택|1
소프트웨어학과|창의SW융합노마드|전공|선택|0
소프트웨어학과|최신기술콜로키움1|전공|선택|0
소프트웨어학과|최신기술콜로키움2|전공|선택|0
소프트웨어학과|최신기술콜로키움3|전공|선택|0
소프트웨어학과|최신기술콜로키움4|전공|선택|0
소프트웨어학과|컴퓨터그래픽스|전공|선택|1
소프트웨어학과|컴퓨터네트워크|전공|선택|0
소프트웨어학과|특허와창업|전공|선택|0
소프트웨어학과|패턴인식|전공|선택|0
소프트웨어학과|확률및통계|전공|선택|0
소프트웨어학과|확률통계및프로그래밍|전공|선택|0
소프트웨어학과|SW설계기초(산학프로젝트입문)|설계|필수|3
