학과이름|과목이름|ABEEK 영역|과목 영역|설계학점
항공우주공학과|문제해결을 위한 글쓰기와 발표|전문교양|필수|0
항공우주공학과|세종사회봉사1|교양선택|선택|0
항공우주공학과|신입생세미나|교필|선택|0
항공우주공학과|창업과 기업가 정신|교필|선택|0
항공우주공학과|소프트웨어기초코딩|MSC|필수|0
항공우주공학과|일변수미적분학|MSC|필수|0
항공우주공학과|일반물리학및실험1|MSC|필수|0
항공우주공학과|기초설계|설계|필수|3
항공우주공학과|English Listening Practice 1|전문교양|필수|0
항공우주공학과|서양철학:쟁점과토론|전문교양|필수|0
항공우주공학과|대학생활과 진로탐색|교필|필수|0
항공우주공학과|다변수미적분학|MSC|필수|0
항공우주공학과|일반물리학및실험2|MSC|필수|0
항공우주공학과|고급프로그래밍입문-C|MSC|필수|0
항공우주공학과|공업역학|전공|필수|0
항공우주공학과|공업수학1|MSC|필수|0
항공우주공학과|일반화학|MSC|필수|0
항공우주공학과|고체역학|전공|필수|0
항공우주공학과|열역학|전공|필수|0
항공우주공학과|항공우주공학개론|전공|필수|0
항공우주공학과|세계사:인간과 문명|교선1|필수|0
항공우주공학과|English Reading Practice 1|전문교양|필수|0
항공우주공학과|공업수학2|MSC|필수|0
항공우주공학과|동역학|전공|필수|0
항공우주공학과|이상유체역학|전공|필수|0
항공우주공학과|항공우주응용SW1|전공|선택|0
항공우주공학과|선형대수학|전공|선택|0
항공우주공학과|비행동역학|전공|필수|0
항공우주공학과|우주궤도역학|전공|선택|0
항공우주공학과|진동학|전공|선택|0
항공우주공학과|항공기구조역학|전공|선택|0
항공우주공학과|압축성유체역학|전공|선택|0
항공우주공학과|항공우주신소재공학|전공|선택|0
항공우주공학과|메카트로닉스응용설계|설계|선택|1
항공우주공학과|메카트로닉스종합설계|설계|선택|1
항공우주공학과|항공제도 및CAD|전공|선택|0
항공우주공학과|자동제어|전공|선택|0
항공우주공학과|항공기설계|설계|선택|1
항공우주공학과|추진체공학|전공|선택|0
항공우주공학과|전산구조해석및실습|전공|선택|0
항공우주공학과|수치해석|전공|선택|0
항공우주공학과|항공MEMS개론|전공|선택|0
항공우주공학과|항공센서신호처리|전공|선택|0
항공우주공학과|인공위성응용|전공|선택|0
항공우주공학과|자율비행체시스템설계1|설계|선택|0
항공우주공학과|종합설계1|설계|필수|3
항공우주공학과|취창업과 진로설계|교필|선택|0
항공우주공학과|졸업연구및진로1|전공|선택|0
항공우주공학과|시뮬레이션시스템설계|설계|선택|1
항공우주공학과|유도제어시스템설계|설계|선택|1
항공우주공학과|로켓공학및설계|설계|선택|1
항공우주공학과|무인항공기설계1|설계|선택|1
항공우주공학과|항공우주공학연구1|전공|선택|0
항공우주공학과|자율비행체시스템설계2|설계|선택|0
항공우주공학과|응용공기역학및설계|설계|선택|1
항공우주공학과|항법전자시스템설계|설계|선택|1
항공우주공학과|졸업연구및진로 2|전공|선택|0
항공우주공학과|헬리콥터공학및설계|설계|선택|1
항공우주공학과|무인항공기설계2|설계|선택|1
항공우주공학과|항공우주공학세미나|전공|선택|0
항공우주공학과|항공우주공학연구2|전공|선택|0
항공우주공학과|항공우주응용SW2|전공|선택|0
항공우주공학과|열전달|전공|선택|0
항공우주공학과|자율항법시스템설계|설계|선택|0
항공우주공학과|종합설계2|설계|필수|3
