id,code,name,credit
1,011614,세종인을위한진로설계,1
2,009068,서양철학:쟁점과토론,3
3,010352,"English Listening Practice 1",2
4,010354,"English Reading Practice 1",2
5,011238,우주자연인간,1
6,011304,대학영어,2
7,012150,비판적사고와창의적글쓰기,3
8,008881,"인지과학:마음,언어,기계",3
9,009937,"공간과인간:인문,예술,공학의융합",3
10,010538,융합적사고,3
11,010797,융합적사고에기반한인문사회계글쓰기,3
12,010798,융합적사고에기반한이공계글쓰기,3
13,012056,새잎창의세미나,3
14,012082,우주와문명,3
15,001357,미적분학1,3
16,001362,미적분학2,3
17,002638,일반물리학1,4
18,002705,일반화학1,3
19,011297,컴퓨터사고기반기초코딩,3
20,011298,SW기초코딩,3
21,011300,고급프로그래밍활용,3
22,011320,인공지능과빅데이터,3
23,011321,인공지능활용,3
24,011322,고급인공지능활용,3
25,011526,사회과학수학,3
26,004558,채플1,0.5
27,004777,채플3,0.5
28,007343,신화와예술,3
29,007563,현대인과기독교,3
30,007731,철학과인간이해,3
31,008381,세종리더십,2
32,008882,동서양의윤리,3
33,008913,동양고전강독1,1
34,008914,서양고전강독1,1
35,009033,독서토론,2
36,009057,서양고전강독3,1
37,009489,세계사:인간과문명,3
38,009740,동양의철학사상-노장과불교,3
39,009775,동양종교의이해,3
40,009780,고전특강,1
41,009938,동서양고전문학강독,1
42,010357,수요집현강좌,1
43,010359,"SHP고전강좌:Reading Intellectus 1",3
44,010530,"SHP고전강좌:Writing Intellectus 1",3
45,010652,"SHP고전강좌:Building Intellectus 1",3
46,010663,"SHP고전강좌:Building Intellectus 2",1
47,011878,역사속의기독교,3
48,012153,정보사회의AI윤리,3
49,012268,세계종교,3
50,002074,여성학,3
51,004489,한국의전통과문화,3
52,005991,스피치커뮤니케이션,3
53,006422,성과문화,2
54,007345,미술심리치료,3
55,007779,현대인의정신건강과자기발견,2
56,008884,국가와정체성,3
57,008936,정치경제학의이해,3
58,009251,중급미술심리치료,3
59,009252,영상스토리텔링,3
60,009785,공간마케팅,3
61,010356,대학생을위한실용금융,2
62,010358,행복한가정만들기,3
63,012158,영화속조직의이해,3
64,012269,인간관계심리학,3
65,003129,지구과학개론,3
66,004763,과학사,3
67,004921,미생물의세계,3
68,005106,생명의미시적세계,3
69,005541,식물의세계,3
70,008885,과학기술과사회,3
71,008890,천문학의세계,3
72,008892,생명과학의미래,3
73,009936,"Technical Writing기초",2
74,010363,곤충의새로운가치,3
75,010542,K-MOOC:일반인을위한물리코딩,1
76,010543,K-MOOC:코딩과스토리텔링,1
77,011416,생활속의물리,3
78,011616,향과학의이해,3
79,011845,공학기술사,3
80,012059,생활속의수학,3
81,012061,물리학입문,3
82,012063,미적분학입문,3
83,012081,데이터로읽는세상,3
84,012159,K-MOOC:인공지능을위한고급수학,3
85,006214,일본어1,3
86,006844,"Intensive English",3
87,007207,기초중국어1,3
88,007208,기초중국어2,3
89,007214,글로벌잉글리쉬1,2
90,007321,생활일본어,3
91,007338,중국의정치경제와사회,3
92,007401,영어발음연습,3
93,007503,영어읽기연습,1
94,007504,영어듣기연습,1
95,008894,세계화와글로벌거버넌스,3
96,008898,영어로하는프리젠테이션,3
97,009046,글로벌잉글리쉬1(진로탐색),2
98,009048,글로벌잉글리쉬1(심화),1
99,009073,"English Speaking Strategies(TS) 1",2
100,009981,"English Listening",2
101,009982,"English Reading",2
102,010531,세계시민정신,3
103,010532,아시아공동체의이해,2
104,012154,"English Speaking Strategies(IELTS) 1",2
105,012156,"English Speaking Strategies(OPIC) 1",2
106,012161,기초프랑스어,3
107,012162,프랑스문화의이해,3
108,012163,기초스페인어,3
109,012164,스페인문화의이해,3
110,005565,스쿼시,1
111,006283,생활속의색채심리학,2
112,006425,스포츠와대중매체,2
113,006709,운동과다이어트,2
114,006711,건강과삶,2
115,009061,웰빙레저스포츠,2
116,009453,보컬트레이닝,3
117,010410,K-MOOC:웨어러블컴퓨터디자인,1
118,011093,골프,1
119,011324,K-MOOC:인공지능콘텐츠아트프로듀싱,1
120,012075,K-태권도1,2
121,012077,호신술,2
122,007221,진로설정과자기계발,2
123,008364,세종사회봉사1,1
124,008365,세종사회봉사2,1
125,009035,창업의이론과실제,3
126,010412,K-MOOC:콘텐츠산업의비즈니스전략,3
127,010651,진로오딧세이,1
128,010664,기술과창업,3
129,500914,행복학,3
130,501271,차문화와건강,3
131,501272,한일문화와의만남,3
132,501296,건강을지켜주는약초학,3
133,501299,이미지메이킹과매너,3
134,501332,나혼자영상만들기,3
135,501342,"예술,역사를만나다-고대와근대",3
136,501345,노동법,3
137,501354,설득력있는프레젠테이션,3
138,501370,국제이주와노동정책,3
139,010418,자기주도창의전공Ⅰ,3
140,010419,자기주도창의전공Ⅱ,3
141,010420,자기주도창의전공Ⅲ,3
142,010421,자기주도창의전공Ⅳ,3
143,008334,교육봉사활동1,1
144,008336,교육봉사활동3,2
145,012151,창업과기업가정신,1
146,006937,한국현대사,3
147,011305,동서양의사상과윤리,3
148,011306,성서와기독교,3
149,011307,세계사,3
150,011308,생명과학의이해,3
151,011310,지구환경과기후변화,3
152,011311,현대과학으로의초대,3
153,011312,경영학,3
154,011313,경제학,3
155,011314,미디어빅뱅과방송,3
156,011316,융합예술의이해,3
157,011317,컴퓨터게임과메타버스,3
158,011318,한국의문화와한류,3
159,011319,현대예술의이해,3
160,007082,취업과진로,2
161,012160,직무적성검사의이해,1
162,000486,교육사회,2
163,000525,교육학개론,2
164,012152,취창업과진로역량개발,1
165,010083,취업전략및사회진출,2
166,000464,교육과정,2
167,000520,교육평가,2
168,007849,교직소양을위한독서강좌1,1
169,008283,교직실무,1
170,012070,디지털교육,1
171,010653,안보학,3
172,008276,학교현장실습,2
173,008910,생활지도및상담,2
174,010655,조직리더십,3
175,004559,한국문학의이해,3
